id,t0,t1,dur,rms_db,peak_db,f_peak,f_lo,f_hi,centroid,bandwidth,flatness,f0_med,f0_min,f0_max,sweep_st,span_st,f0_conf,shape,am_rate,am_depth
54,31.5787,31.7893,0.2107,-38.66,-26.61,2062.5,1171.9,6468.8,2780.1,1701.5,0.00029,1690.0,700.0,2110.0,0.0,19.1,7.49,arch,0.0,0.0
55,31.904,32.0053,0.1013,-43.91,-29.76,1687.5,1265.6,6281.2,2901.5,1733.8,0.00037,1186.0,820.0,2128.0,12.64,16.51,6.88,rise,171.4,0.564
56,32.3893,33.0347,0.6453,-34.88,-23.68,1593.8,1312.5,6656.2,2897.6,1780.7,0.00013,1591.0,736.0,2344.0,9.64,20.05,12.39,arch,98.4,0.441
57,33.1147,33.216,0.1013,-39.83,-26.79,3937.5,1875.0,8296.9,4243.3,1972.0,0.0007,3988.0,3844.0,4078.0,-0.21,1.02,8.2,flat,38.2,0.093
58,33.3733,33.544,0.1707,-40.73,-27.39,3890.6,2437.5,8484.4,4879.8,1917.5,0.00021,3517.0,1810.0,4828.0,8.94,16.99,5.53,arch,150.0,0.471
59,33.7333,33.9067,0.1733,-41.72,-29.37,1078.1,1078.1,7687.5,4115.7,2180.8,0.00042,1360.0,982.0,3982.0,-7.6,24.24,6.41,rise,28.0,0.1
60,34.064,34.2133,0.1493,-40.47,-29.49,3890.6,2531.2,7781.2,4116.1,1550.8,0.00025,3892.0,940.0,4036.0,3.71,25.23,7.85,rise,9.6,0.045
61,34.5173,34.984,0.4667,-36.5,-24.68,1593.8,1265.6,6656.2,2956.5,1820.8,9e-05,1408.0,772.0,3652.0,-10.47,26.9,12.17,fall,200.0,0.586
62,35.3093,35.5067,0.1973,-41.77,-30.46,1500.0,1125.0,6796.9,2747.1,1986.4,0.00037,1441.0,700.0,4408.0,24.19,31.86,9.0,rise,12.4,0.084
63,35.568,35.792,0.224,-41.06,-29.29,2109.4,1546.9,5765.6,3249.1,1540.8,0.00048,2062.0,706.0,4030.0,1.74,30.16,7.09,v,15.6,0.146
64,35.8453,35.9973,0.152,-41.79,-28.05,3796.9,2296.9,7078.1,3936.6,1486.6,0.00088,3166.0,760.0,4030.0,0.0,28.88,3.83,rise,17.8,-0.006
65,36.112,36.3173,0.2053,-38.7,-26.76,1687.5,1218.8,6328.1,3073.5,1678.8,6e-05,1360.0,814.0,2062.0,6.53,16.09,5.76,fall,11.4,-0.064
66,36.5787,36.8907,0.312,-32.4,-19.85,1875.0,1406.2,6796.9,3071.6,1804.1,0.00045,1546.0,790.0,2248.0,6.8,18.1,9.61,arch,0.0,0.0
67,37.0213,37.1547,0.1333,-40.68,-27.1,1781.2,1593.8,6093.8,3204.5,1627.7,0.00036,886.0,736.0,2158.0,15.99,18.62,6.52,rise,28.0,0.04
68,37.208,37.5733,0.3653,-39.68,-26.71,1921.9,1265.6,6234.4,2913.6,1665.4,8e-05,1918.0,736.0,2200.0,1.25,18.96,7.75,fall,9.8,-0.037
69,37.656,37.928,0.272,-46.29,-30.71,1171.9,1125.0,6234.4,2790.4,1763.4,0.00014,1687.0,736.0,2200.0,-5.54,18.96,5.85,v,193.5,0.545
70,38.3787,39.104,0.7253,-41.8,-26.35,1828.1,1171.9,6843.8,3002.2,1875.9,0.00034,1216.0,706.0,2206.0,9.81,19.72,8.01,fall,130.4,0.52
71,39.496,39.5547,0.0587,-61.99,-49.38,1640.6,1078.1,8531.2,2515.5,2158.0,9e-05,1546.0,1078.0,1684.0,0.76,7.72,11.25,v,136.4,0.485
72,39.7813,40.0667,0.2853,-45.09,-31.66,1171.9,1031.2,6000.0,2106.8,1640.4,0.00035,1216.0,940.0,1594.0,0.72,9.14,12.26,arch,11.0,0.118
73,40.3173,40.6907,0.3733,-34.32,-21.5,2062.5,1359.4,6421.9,2854.8,1684.2,0.00016,1642.0,748.0,2206.0,-4.7,18.72,8.69,arch,0.0,0.0
74,40.816,40.9493,0.1333,-43.44,-29.99,2015.6,1500.0,6234.4,3051.0,1606.1,0.00033,796.0,718.0,2086.0,12.65,18.46,7.16,v,157.9,0.48
75,40.9867,41.1893,0.2027,-50.16,-39.96,1687.5,1125.0,6187.5,2723.9,1755.1,0.00044,1642.0,1054.0,2104.0,11.23,11.97,8.46,arch,187.5,0.627
76,41.4027,41.6613,0.2587,-43.96,-30.7,1218.8,1078.1,6328.1,2556.8,1864.8,0.00063,1360.0,700.0,2098.0,1.33,19.0,10.23,arch,12.4,0.174
77,41.8053,42.416,0.6107,-37.43,-22.87,2062.5,1265.6,6468.8,2912.3,1759.2,7e-05,1498.0,736.0,2200.0,7.62,18.96,11.22,arch,0.0,0.0
78,42.6347,42.768,0.1333,-45.75,-31.5,1968.8,1265.6,6000.0,2704.5,1610.3,0.00013,1966.0,958.0,1990.0,-11.96,12.66,9.98,fall,166.7,0.821
79,42.808,43.12,0.312,-44.15,-31.15,1171.9,1078.1,6140.6,2264.4,1762.0,0.00035,1222.0,1030.0,1456.0,2.09,5.99,12.36,rise,9.6,0.155
80,43.2587,43.352,0.0933,-50.31,-37.0,1218.8,1078.1,6187.5,2295.1,1913.9,0.00077,1174.0,1126.0,1360.0,0.09,3.27,13.56,complex,9.9,0.074
81,43.576,43.672,0.096,-59.87,-50.91,1218.8,1078.1,8390.6,2074.7,2267.2,0.00029,1174.0,1126.0,1222.0,0.72,1.42,28.73,complex,9.7,0.124
82,44.1067,44.8613,0.7547,-40.94,-25.27,1218.8,1125.0,6750.0,2841.4,1820.5,0.00013,1216.0,712.0,2344.0,10.87,20.63,8.52,arch,0.0,0.0
83,45.6,45.9067,0.3067,-43.8,-30.92,1171.9,1031.2,6046.9,2258.2,1777.8,0.0003,1174.0,700.0,1546.0,1.48,13.72,11.73,rise,0.0,0.0
84,46.0827,46.1387,0.056,-62.28,-51.44,1359.4,937.5,6890.6,2206.1,2073.8,0.00041,1216.0,952.0,1456.0,1.11,7.36,12.79,rise,30.8,-0.002
85,46.3733,46.8427,0.4693,-41.68,-28.87,1453.1,1171.9,7031.2,2963.7,2015.8,0.00029,1450.0,778.0,1942.0,8.84,15.84,12.03,rise,0.0,0.0
86,47.0267,47.6133,0.5867,-42.68,-27.19,1781.2,1171.9,6515.6,2807.6,1688.3,0.00019,1246.0,718.0,2158.0,7.06,19.05,6.0,arch,0.0,0.0
87,48.3733,48.432,0.0587,-59.15,-47.12,1218.8,843.8,5062.5,1708.8,2022.9,0.00088,1120.0,892.0,1264.0,-5.13,6.03,14.89,fall,30.2,-0.038
88,48.768,49.6987,0.9307,-37.88,-22.35,2062.5,1312.5,6421.9,2950.7,1659.6,0.00014,1546.0,736.0,2248.0,12.07,19.33,5.62,fall,0.0,0.0
89,50.664,51.4507,0.7867,-43.53,-26.72,2062.5,1078.1,6375.0,2721.7,1711.8,5e-05,1054.0,742.0,2248.0,8.93,19.19,6.21,arch,0.0,0.0
90,52.168,52.4747,0.3067,-49.97,-37.34,1078.1,984.4,5953.1,2159.1,1729.1,0.00021,1126.0,982.0,3514.0,21.52,22.07,14.8,rise,14.2,0.047
91,52.64,52.9707,0.3307,-36.16,-22.11,1828.1,1406.2,6515.6,3023.5,1717.4,1e-05,1450.0,736.0,2200.0,8.62,18.96,7.37,arch,113.2,0.639
92,53.136,53.496,0.36,-46.1,-29.14,2156.2,1453.1,6281.2,3053.7,1627.5,0.00018,1477.0,730.0,2158.0,12.44,18.76,6.52,v,187.5,0.619
93,53.6933,53.92,0.2267,-39.53,-29.36,1546.9,1078.1,6281.2,2446.2,1732.2,0.00024,1546.0,772.0,2110.0,0.09,17.41,10.52,arch,0.0,0.0
94,54.0293,54.1307,0.1013,-50.26,-37.05,1453.1,1078.1,6843.8,2803.7,1958.3,0.00018,1450.0,700.0,2110.0,4.29,19.1,6.32,v,181.8,0.478
95,54.2533,54.648,0.3947,-32.96,-20.67,1781.2,1312.5,6515.6,2779.1,1746.3,0.0001,1780.0,748.0,2200.0,7.98,18.68,14.74,arch,10.6,0.197
96,54.8747,55.5787,0.704,-40.67,-25.57,1687.5,1171.9,6234.4,2707.2,1681.7,0.00015,1642.0,718.0,2200.0,-4.86,19.39,8.99,fall,0.0,0.0
97,55.96,56.0507,0.0907,-70.0,-56.72,2109.4,1218.8,9421.9,3611.4,2373.1,0.00104,2104.0,898.0,2770.0,-14.17,19.5,9.1,fall,18.4,0.126
98,56.1013,56.168,0.0667,-71.48,-59.92,1078.1,937.5,9328.1,3574.0,2547.7,0.00153,1036.0,868.0,3514.0,4.93,24.21,4.4,rise,36.6,0.093
99,56.2267,56.3093,0.0827,-69.08,-57.34,2203.1,1171.9,9562.5,3578.4,2681.1,0.02431,2074.0,1096.0,2248.0,-4.85,12.44,10.8,fall,18.0,0.01
